noopt,nocache,S,4,83
noopt,nocache,R,4,85
noopt,nocache,S,64,166
noopt,nocache,R,64,167
noopt,nocache,S,256,430
noopt,nocache,R,256,432
noopt,dcache,S,4,51
noopt,dcache,R,4,51
noopt,dcache,S,64,105
noopt,dcache,R,64,105
noopt,dcache,S,256,274
noopt,dcache,R,256,274
noopt,icache,S,4,78
noopt,icache,R,4,79
noopt,icache,S,64,160
noopt,icache,R,64,160
noopt,icache,S,256,423
noopt,icache,R,256,423
noopt,bcache,S,4,2
noopt,bcache,R,4,2
noopt,bcache,S,64,5
noopt,bcache,R,64,5
noopt,bcache,S,256,14
noopt,bcache,R,256,14
opt,nocache,S,4,44
opt,nocache,R,4,43
opt,nocache,S,64,45
opt,nocache,R,64,45
opt,nocache,S,256,47
opt,nocache,R,256,47
opt,dcache,S,4,39
opt,dcache,R,4,39
opt,dcache,S,64,40
opt,dcache,R,64,40
opt,dcache,S,256,42
opt,dcache,R,256,42
opt,icache,S,4,21
opt,icache,R,4,21
opt,icache,S,64,22
opt,icache,R,64,23
opt,icache,S,256,23
opt,icache,R,256,23
opt,bcache,S,4,1
opt,bcache,R,4,1
opt,bcache,S,64,1
opt,bcache,R,64,1
opt,bcache,S,256,2
opt,bcache,R,256,2
